 CGCG031-077,08h18m13.2s,+04d45m59s
NGC2207 ,06h16m22.03s,-21d22m21.6s
NGC2217,6h21m39.78s,-27d14m01.5s
NGC2242,6h34m07.2444s,44d46m37.2612s
NGC2276,7h27m14.3599s,85d45m16.4016s
NGC2315 ,07h02m33.06s,+50d35m26.1s
NGC2325 ,07h02m40.40s,-28d41m50.0s
NGC2357,07h17m41.0s,+23d21m24s
NGC2357 ,07h17m40.99s,+23d21m24.3s
NGC2397 ,07h21m19.98s,-69d00m05.3s
NGC2442,07h36m23.84s,-69d31m51.0s
NGC2466,07h45m16.05s,-71d24m37.5s
NGC2577 ,08h22m43.45s,+22d33m11.1s
NGC2615,08h34m33.35s,-02d32m48.5s
NGC2655 ,08h55m37.73s,+78d13m23.1s
NGC2668,08h49m22.563s,36d42m37.18s
NGC2748,09h13m43.02s,+76d28m31.2s
NGC2748,9h13m43.02s,76d28m31.1988s
NGC2765,09h07m36.64s,+03d23m34.5s
NGC2765 ,09h07m36.64s,+03d23m34.5s
NGC2770,09h09m33.7s,+33d07m25s
NGC2770 ,09h09m33.71s,+33d07m24.7s
NGC2770 ,09h09m33.71s,+33d07m24.7s
NGC2789 ,09h14m59.66s,+29d43m49.0s
NGC2811,09h16m11.11s,-16d18m45.8s
NGC2832,09h19m46.86s,+33d44m59.1s
NGC2891,09h26m56.63s,-24d46m58.9s
NGC2906 ,09h32m06.22s,+08d26m30.4s
NGC2929 ,09h37m29.81s,+23d09m42.0s
NGC2980 ,09h43m11.97s,-09d36m44.6s
NGC300  ,00h54m53.48s,-37d41m03.8s
NGC3054 ,09h54m28.60s,-25d42m12.4s
NGC3120 ,10h05m23.04s,-34d13m11.8s
NGC3166,10h13m45.60s,+03d25m29.0s
NGC3184 ,10h18m16.86s,+41d25m26.6s
NGC3191,10h19m05.1257s,46d27m14.796s
NGC3239 ,10h25m04.89s,+17d09m48.9s
NGC3244 ,10h25m28.84s,-39d49m39.2s
NGC3278 ,10h31m35.39s,-39d57m16.7s
NGC3287,10h34m47.30s,+21d38m53.8s
NGC3344 ,10h43m31.15s,+24d55m20.0s
NGC3351/M95 ,10h43m57.70s,+11d42m13.7s
NGC337,00h59m50.09s,-07d34m40.7s
NGC3392 ,10h51m03.00s,+65d46m53.6s
NGC3428 ,10h51m29.51s,+09d16m46.2s
NGC3447,10h53m26.80s,+16d46m44.0s
NGC3448,10h54m39.20s,+54d18m17.5s
NGC3449,10h52m53.66s,-32d55m39.4s
NGC3546,11h09m46.7902s,-13d22m51.1032s
NGC3583,11h14m10.9s,48d19m07s
NGC3613 ,11h18m36.11s,+58d00m00.0s
NGC3631,11h21m02.8742s,53d10m10.4484s
NGC3672 ,11h25m02.47s,-09d47m43.4s
NGC3690 ,11h28m32.30s,+58d33m43.0s
NGC383,01h07m24.9s,32d24m45s
NGC3903,11h49m03.54s,-37d31m01.6s
NGC3938,11h52m49.4501s,44d07m14.5992s
NGC3953 ,11h53m48.92s,+52d19m36.4s
NGC3972 ,11h55m45.09s,+55d19m14.7s
NGC4030 ,12h00m23.63s,-01d06m00.3s
NGC4036 ,12h01m26.75s,+61d53m44.8s
NGC4038,12h01m53.01s,-18d52m03.4s
NGC4051 ,12h03m09.61s,+44d31m52.8s
NGC4080,12h04m51.8s,+26d59m33s
NGC4088 ,12h05m34.19s,+50d32m20.5s
NGC4125,12h08m06.0199s,65d10m26.9004s
NGC4134,12h09m10.01s,+29d10m36.9s
NGC4214 ,12h15m39.17s,+36d19m36.8s
NGC4219 ,12h16m27.32s,-43d19m27.3s
NGC4303=M61,12h21m54.90s,+04d28m25.1s
NGC4321/M100,12h22m54.83s,+15d49m18.5s
NGC4332 ,12h22m46.76s,+65d50m37.6s
NGC4386,12h24m28.35s,+75d31m44.1s
NGC4414,12h26m27.10s,+31d13m24.7s
NGC4419,12h26m56.44s,+15d02m50.6s
NGC4424 ,12h27m11.61s,+09d25m14.4s
NGC4487 ,12h31m04.46s,-08d03m14.1s
NGC4490 ,12h30m36.24s,+41d38m38.0s
NGC4532,12h34m19.3301s,6d28m03.6984s
NGC4559,12h35m57.65s,+27d57m36.0s
NGC4559,12h35m57.6s,+27d57m36s
NGC4666,12h45m08.6s,-00d27m43s
NGC4696,12h48m49.2499s,-41d18m38.9988s
NGC474,1h20m06.6907s,3d24m55.4364s
NGC4772,12h53m29.16s,+02d10m06.2s
NGC4779,12h53m50.8358s,9d42m36.2376s
NGC4790 ,12h54m51.94s,-10d14m52.2s
NGC4939 ,13h04m14.39s,-10d20m22.6s
NGC4945 ,13h05m27.48s,-49d28m05.6s
NGC4981 ,13h08m48.74s,-06d46m39.1s
NGC4984 ,13h08m57.23s,-15d30m58.7s
NGC5054,13h16m58.49s,-16d38m05.5s
NGC5112,13h21m56.4s,+38d44m05s
NGC5128,13h25m27.6s,-43d01m09s
NGC5177 ,13h29m24.26s,+11d47m49.3s
NGC5194=M51,13h29m56.20s,+47d13m50.0s
NGC5221,13h34m55.9001s,13d49m57s
NGC5227,13h35m24.556s,+01d24m38.14s
NGC524  ,01h24m47.72s,+09d32m19.8s
NGC5247,13h38m03.0s,-17d53m03s
NGC5292,13h47m40.1s,-30d56m22s
NGC5301 ,13h46m24.67s,+46d06m25.4s
NGC5338 ,13h53m26.55s,+05d12m28.0s
NGC5374,13h57m29.6s,06d05m49s
NGC5410,14h00m54.61s,+40d59m19.0s
NGC5421 ,14h01m41.88s,+33d49m25.6s
NGC5430,14h00m45.7s,+59d19m42s
NGC5483,14h10m25.0s,-43d19m29s
NGC5490,14h09m57.295s,+17d32m43.98s
NGC55,00h14m53.60s,-39d11m47.9s
NGC5516,14h15m54.69s,-48d06m53.4996s
NGC5525 ,14h15m39.23s,+14d16m57.4s
NGC5584 ,14h22m23.77s,-00d23m15.6s
NGC5643,14h32m40.7436s,-44d10m27.8616s
NGC5643,14h32m40.74s,-44d10m27.9s
NGC5669,14h32m43.49s,+09d53m25.6s
NGC5698 ,14h37m14.70s,+38d27m15.4s
NGC5728 ,14h42m23.90s,-17d15m11.1s
NGC579  ,01h31m46.49s,+33d36m56.0s
NGC5806,15h00m00.40s,+01d53m28.7s
NGC5806,15h00m00.4s,+01d53m29s
NGC5806 ,15h00m00.40s,+01d53m28.7s
NGC5837,15h04m40.6s,12d38m00s
NGC5839,15h05m27.490s,+01d38m05.30s
NGC5861,15h09m16.0901s,-11d19m18.0012s
NGC5936,15h30m00.83s,+12d59m21.6s
NGC6000 ,15h49m49.55s,-29d23m12.6s
NGC6018,15h57m29.7739s,15d52m21.432s
NGC613,1h34m18.1699s,-29d25m06.0996s
NGC6166,16h28m38.5s,+39d33m06s
NGC6240,16h52m58.87s,+02d24m03.3s
NGC6240 ,16h52m58.871s ,+02d24m03.33s
NGC634  ,01h38m18.66s,+35d21m53.4s
NGC6343,17h17m16.27s,+41d03m09.8s
NGC6384,17h32m24.3s,7d03m37.0008s
NGC6479 ,17h48m21.59s,+54d08m56.4s
NGC6524 ,17h59m14.71s,+45d53m13.5s
NGC6574 ,18h11m51.23s,+14d58m54.4s
NGC6643 ,18h19m46.41s,+74d34m06.1s
NGC6643 ,18h19m46.41s,+74d34m06.1s
NGC6824,19h43m40.6999s,56d06m34.0992s
NGC6829 ,19h47m07.56s,+59d54m25.5s
NGC6908,20h25m08.965s,-24d48m04.11s
NGC6925 ,20h34m20.57s,-31d58m51.2s
NGC6942,20h40m37.8499s,-54d18m11.0016s
NGC6946,20h34m52.3236s,60d09m14.094s
NGC6946 ,20h34m52.32s,+60d09m14.1s
NGC6951,20h37m14.09s,+66d06m20.3s
NGC6984,20h57m53.98s,-51d52m15.0s
NGC7042,21h13m45.86s,+13d34m29.7s
NGC7119,21h46m15.50s,-46d31m05.0s
NGC7123,21h50m46.6s,-70d20m03s
NGC7130 ,21h48m19.52s,-34d57m04.5s
NGC7183,22h02m21.62s,-18d54m59.4s
NGC7187,22h02m44.5601s,-32d48m07.8012s
NGC7250,22h18m17.80s,+40d33m44.6s
NGC7259,22h23m05.52s,-28d57m17.4s
NGC7331,22h37m04.01s,+34d24m55.9s
NGC7331,22h37m04.01s,+34d24m55.9s
NGC7364 ,22h44m24.37s,-00d09m43.5s
NGC7364 ,22h44m24.37s,-00d09m43.5s
NGC7371,22h46m03.7s,-11d00m04s
NGC7410,22h55m00.95s,-39d39m40.8s
NGC7469 ,23h03m15.62s,+08d52m26.4s
NGC7479 ,23h04m56.65s,+12d19m22.4s
NGC7483 ,23h05m48.29s,+03d32m42.4s
NGC7485,23h06m04.86s,+34d06m27.7s
NGC7552,23h16m10.7592s,-42d35m05.0712s
NGC7610,23h19m41.37s,+10d11m06.0s
NGC7653,23h24m49.3s,15d16m32s
NGC7674 ,23h27m56.72s,+08d46m44.5s
NGC7714 ,23h36m14.10s,+02d09m18.6s
NGC7753,23h47m04.83s,+29d29m00.4s
NGC83,0h21m22.3999s,22d26m00.9996s
NGC88,00h21m22.1s,-48d38m25s
NGC890,02h22m01.01s,+33d15m57.8s
NGC910  ,02h25m26.78s,+41d49m27.4s
NGC918  ,02h25m50.84s,+18d29m46.5s
PGC 67911,22h02m44.04s,+31d41m44.6s
PGC043070,12h46m14.94s,-40d48m46.8s
PGC053612,15h00m38.84s,-03d51m30.0s
PGC054958,15h23m35.2474s,9d20m46.1436s
PGC071943,23h37m44.1s,-47d30m21s
PGC14370 ,04h03m16.79s,+71d43m13.3s
PGC17633,05h42m20.87s,-25d32m27.7s
PGC2065,00h34m29.88s,+30d23m49.4s
PGC26440,09h20m46.2s,-08d03m22s
PGC2692384,18h32m24.07s,+66d53m42.8s
PGC29010 ,10h01m26.52s,+36d40m16.6s
PGC35452,11h30m12.88s,+24d10m10.7s
PGC36194,11h40m16.09s,+17d27m26.0s
PGC67159,21h40m38.95s,+06d30m35.2s
PGC67803,22h00m02.4s,-30d11m01.2012s
PGC68345 ,22h14m03.02s,-26d56m15.8s
PGC71942,23h37m45.67s,+14d42m24.2s
PGC9204,02h25m28.34s,-25d38m16.5s
SDSSJ024942.76+004535.4,02h49m42.77s,+00d45m35.7s
SDSSJ103247.83+041145.5,10h32m47.84s,+04d11m45.5s
SDSSJ110840.11+340552.2,11h08m40.12s,+34d05m52.2s
SDSSJ111840.97+250958.5,11h18m40.99s,+25d09m59.5s
SDSSJ125135.41+263744.1,12h51m35.42s,+26d37m44.1s
SDSSJ154029.29+005437.4,15h40m29.2997s,0d54m37.4076s
SDSSJ161609.48+383245.0,16h16m09.50s,+38d32m45.1s
SDSSJ162243.02+185733.8,16h22m43.03s,+18d57m33.8s
SDSSJ171750.05+405252.5,17h17m50.06s,+40d52m52.6s
SDSSJ221241.53+003042.7,22h12m41.54s,+00d30m42.8s
UGC03218 ,05h00m43.71s,+62d14m38.5s
UGC03691 ,07h08m01.28s,+15d10m42.3s
UGC03906 ,07h36m40.40s,+74d26m54.0s
UGC05369,10h00m18.9s,54d32m18.8988s
UGC08041,12h55m12.6s,00d07m00s
UGC09113,14h14m14.7732s,35d25m25.1652s
UGC09356,14h32m53.53s,+11d35m42.2s
UGC09386,14h34m52.7801s,40d44m52.836s
UGC09857,15h26m31.3699s,41d43m30.6984s
UGC10018,15h43m39.55s,+67d45m39.0s
UGC10064,15h51m13.28s,+25d42m06.9s
UGC10214 ,16h06m03.92s,+55d25m31.6s
UGC10685,17h04m50.98s,+12d55m29.5s
UGC11000,17h49m26.65s,+36d08m42.8s
UGC11214,18h22m53.2601s,12d25m45.8004s
UGC11301 ,18h37m54.45s,+17d32m01.9s
UGC11428 ,19h20m28.54s,+30d49m31.8s
UGC11501,19h58m37.03s,+02d36m10.6s
UGC11797,21h43m20.2s,+43d34m35s
UGC11861,21h56m24.00s,+73d15m38.6s
UGC11868,21h59m04.6901s,18d10m38.7984s
UGC11975,22h17m19.74s,+35d34m16.2s
UGC12188 ,22h47m38.00s,+39d52m54.0s
UGC12295,23h00m23.7s,+01d37m36s
UGC12323,23h02m33.1099s,32d35m39.5988s
UGC12410,23h11m50.29s,+31d01m16.3s
UGC12640,23h30m56.80s,+15d29m25.8s
UGC12655,23h32m29.0599s,23d55m51.8016s
UGC12682,23h34m53.50s,+18d13m38.0s
UGC12846 ,23h55m46.00s,+18d25m30.0s
UGC12850,23h56m06.1s,+29d22m41s
UGC2175 ,02h42m16.50s,+42d23m35.5s
UGC2358,2h55m42.6199s,75d09m15.9012s
UGC2526 ,03h05m43.35s,+36d47m10.2s
UGC2653 ,03h18m38.23s,+37d36m29.0s
UGC272  ,00h27m49.74s,-01d12m00.0s
UGC2789,03h36m13.55s,+67d33m52.7s
UGC2855,03h48m20.73s,+70d07m58.4s
UGC2890 ,03h56m04.12s,+72d55m16.9s
UGC3627 ,07h01m05.06s,+51d16m10.9s
UGC402,00h39m18.6s,+03d57m10s
UGC4179 ,08h02m05.84s,+00d48m33.9s
UGC4286 ,08h14m16.48s,+18d26m26.4s
UGC4461,8h33m22.6783s,52d31m56.0928s
UGC4812,09h10m08.9s,50d03m10s
UGC4904 ,09h17m22.06s,+41d54m39.7s
UGC5055,09h30m11.75s,+55d51m08.7s
UGC5066,09h31m07.87s,+46d23m03.4s
UGC5189,09h42m53.434s, +09d29m41.87s
UGC5378 ,10h00m31.99s,+04d24m25.4s
UGC5460,10h08m09.3s,51d50m38s
UGC5460 ,10h08m09.30s,+51d50m38.0s
UGC5609,10h24m22.27s,+78d36m33.1s
UGC5623,10h23m48.60s,+33d48m28.4s
UGC6483,11h29m02.32s,+17d13m54.7s
UGC766,01h13m29.8s,+49d36m19s
UGC7848 ,12h40m57.29s,+63d31m10.5s
UGC8472 ,13h29m13.64s,+11d16m33.0s
UGC8503,13h30m44.82s,+32d45m38.8s
UGC8554 ,13h34m14.72s,+37d12m28.4s
UGC8713 ,13h47m01.23s,+33d53m37.0s
UGC9379,14h33m58.64s,+40d14m39.8s
UGCA397,15h00m24.3s,-13d33m07s
