IC208,,,,
Arcminute,North,East,South,West
9,0.19,0.19,0.226,0.2
10,0.185,0.19,0.226,0.199
11,0.179,0.189,0.228,0.198
12,0.179,0.185,0.229,0.199
13,0.176,0.185,0.229,0.198
14,0.176,0.184,0.228,0.2
15,0.176,0.183,0.225,0.204
16,0.174,0.183,0.225,0.204
17,0.173,0.181,0.221,0.211
18,0.173,0.18,0.215,0.211
19,0.173,0.18,0.215,0.215
20,0.172,0.178,0.209,0.215
,,,,
MCG-02-24-027 ,,,,
Arcminute,North,East,South,West
0,0.188,0.188,0.188,0.188
1,0.191,0.188,0.188,0.185
2,0.188,0.188,0.187,0.183
3,0.188,0.185,0.176,0.183
4,0.183,0.185,0.176,0.178
5,0.176,0.181,0.174,0.175
6,0.176,0.179,0.17,0.175
7,0.171,0.179,0.17,0.172
8,0.166,0.176,0.174,0.171
9,0.166,0.176,0.176,0.171
10,0.167,0.176,0.176,0.173
11,0.16,0.177,0.179,0.176
12,0.16,0.178,0.183,0.177
13,0.167,0.178,0.183,0.177
14,0.158,0.178,0.182,0.178
15,0.158,0.181,0.18,0.178
16,0.159,0.181,0.18,0.178
17,0.151,0.181,0.175,0.178
18,0.151,0.182,0.172,0.177
19,0.151,0.182,0.172,0.177
20,0.148,0.18,0.167,0.176
,,,,
NGC3184 ,,,,
Arcminute,North,East,South,West
0,0.045,0.045,0.045,0.045
1,0.045,0.045,0.045,0.045
2,0.045,0.045,0.045,0.045
3,0.045,0.046,0.045,0.045
4,0.044,0.046,0.045,0.046
5,0.044,0.046,0.045,0.046
6,0.043,0.046,0.044,0.047
7,0.043,0.046,0.041,0.047
8,0.043,0.045,0.041,0.048
9,0.043,0.045,0.04,0.048
10,0.043,0.045,0.037,0.046
11,0.043,0.042,0.038,0.045
12,0.044,0.041,0.036,0.044
13,0.044,0.041,0.036,0.044
14,0.044,0.038,0.036,0.043
15,0.044,0.037,0.036,0.043
16,0.042,0.037,0.037,0.044
17,0.042,0.036,0.037,0.046
18,0.042,0.034,0.036,0.046
19,0.041,0.034,0.035,0.047
20,0.041,0.034,0.035,0.048
,,,,
NGC5177 ,,,,
Arcminute,North,East,South,West
0,0.093,0.093,0.093,0.093
1,0.093,0.093,0.091,0.09
2,0.092,0.092,0.089,0.088
3,0.091,0.089,0.089,0.088
4,0.091,0.089,0.087,0.085
5,0.091,0.083,0.084,0.083
6,0.095,0.08,0.084,0.083
7,0.095,0.08,0.082,0.084
8,0.098,0.075,0.081,0.082
9,0.101,0.073,0.081,0.082
10,0.101,0.073,0.078,0.084
11,0.104,0.071,0.077,0.085
12,0.107,0.071,0.077,0.085
13,0.107,0.071,0.075,0.085
14,0.107,0.069,0.073,0.085
15,0.107,0.068,0.073,0.088
16,0.107,0.068,0.071,0.088
17,0.108,0.067,0.069,0.088
18,0.106,0.067,0.069,0.09
19,0.106,0.067,0.067,0.09
20,0.106,0.067,0.067,0.089
,,,,
PGC68345 ,,,,
Arcminute,North,East,South,West
0,0.075,0.075,0.075,0.075
1,0.074,0.071,0.071,0.072
2,0.074,0.071,0.071,0.069
3,0.07,0.069,0.067,0.069
4,0.064,0.065,0.064,0.06
5,0.064,0.065,0.064,0.058
6,0.059,0.064,0.061,0.055
7,0.053,0.063,0.06,0.055
8,0.053,0.063,0.06,0.055
9,0.053,0.062,0.06,0.056
10,0.053,0.062,0.058,0.057
11,0.053,0.062,0.058,0.057
12,0.054,0.065,0.058,0.057
13,0.054,0.066,0.057,0.058
14,0.054,0.066,0.057,0.058
15,0.054,0.067,0.058,0.058
16,0.054,0.066,0.058,0.058
17,0.054,0.066,0.058,0.059
18,0.054,0.064,0.059,0.059
19,0.054,0.06,0.058,0.059
20,0.054,0.06,0.058,0.061
,,,,
NGC2357 ,,,,
Arcminute,North,East,South,West
0,0.178,0.178,0.178,0.178
1,0.177,0.179,0.178,0.178
2,0.175,0.182,0.178,0.176
3,0.175,0.182,0.178,0.173
4,0.172,0.181,0.178,0.17
5,0.167,0.181,0.177,0.17
6,0.167,0.181,0.175,0.165
7,0.159,0.182,0.178,0.16
8,0.152,0.175,0.175,0.16
9,0.152,0.175,0.172,0.154
10,0.147,0.177,0.172,0.151
11,0.143,0.172,0.168,0.146
12,0.143,0.172,0.163,0.146
13,0.138,0.172,0.163,0.145
14,0.137,0.169,0.16,0.144
15,0.137,0.169,0.157,0.144
16,0.137,0.171,0.157,0.144
17,0.137,0.17,0.155,0.147
18,0.137,0.17,0.152,0.148
19,0.137,0.172,0.152,0.151
20,0.138,0.173,0.15,0.151
,,,,
NGC4214 ,,,,
Arcminute,North,East,South,West
0,0.059,0.059,0.059,0.059
1,0.059,0.058,0.059,0.059
2,0.059,0.058,0.059,0.059
3,0.059,0.058,0.059,0.059
4,0.06,0.057,0.057,0.06
5,0.06,0.056,0.057,0.061
6,0.06,0.056,0.057,0.063
7,0.062,0.053,0.054,0.064
8,0.062,0.049,0.054,0.064
9,0.063,0.049,0.053,0.064
10,0.064,0.047,0.05,0.064
11,0.064,0.045,0.05,0.062
12,0.063,0.045,0.049,0.061
13,0.063,0.044,0.046,0.061
14,0.063,0.042,0.046,0.061
15,0.062,0.042,0.043,0.06
16,0.062,0.041,0.04,0.059
17,0.062,0.04,0.04,0.059
18,0.061,0.04,0.04,0.059
19,0.06,0.039,0.039,0.059
20,0.06,0.038,0.039,0.058
,,,,
NGC3690 ,,,,
Arcminute,North,East,South,West
0,0.045,0.045,0.045,0.045
1,0.045,0.045,0.045,0.045
2,0.045,0.045,0.045,0.045
3,0.044,0.045,0.046,0.044
4,0.045,0.045,0.046,0.043
5,0.045,0.045,0.046,0.04
6,0.045,0.045,0.047,0.037
7,0.044,0.045,0.046,0.035
8,0.044,0.045,0.046,0.034
9,0.044,0.044,0.045,0.034
10,0.043,0.043,0.043,0.034
11,0.043,0.043,0.043,0.035
12,0.042,0.04,0.042,0.036
13,0.042,0.038,0.042,0.038
14,0.042,0.038,0.042,0.038
15,0.043,0.035,0.042,0.037
16,0.044,0.034,0.041,0.036
17,0.044,0.034,0.041,0.033
18,0.043,0.032,0.042,0.032
19,0.042,0.03,0.042,0.03
20,0.042,0.03,0.042,0.029
,,,,
MCG+10-19-1,,,,
Arcminute,North,East,South,West
0,0.032,0.032,0.032,0.032
1,0.032,0.03,0.029,0.031
2,0.032,0.03,0.029,0.031
3,0.031,0.028,0.027,0.03
4,0.03,0.026,0.025,0.028
5,0.03,0.026,0.025,0.028
6,0.028,0.025,0.024,0.024
7,0.028,0.023,0.024,0.023
8,0.028,0.023,0.024,0.023
9,0.026,0.022,0.024,0.023
10,0.025,0.022,0.023,0.025
11,0.025,0.022,0.023,0.026
12,0.024,0.022,0.022,0.028
13,0.023,0.022,0.021,0.029
14,0.023,0.022,0.021,0.028
15,0.023,0.021,0.021,0.028
16,0.023,0.022,0.021,0.026
17,0.023,0.022,0.021,0.025
18,0.023,0.021,0.022,0.024
19,0.023,0.021,0.022,0.023
20,0.023,0.021,0.022,0.023
,,,,
IC1320  ,,,,
Arcminute,North,East,South,West
0,0.361,0.361,0.361,0.361
1,0.366,0.361,0.361,0.358
2,0.363,0.361,0.356,0.356
3,0.363,0.359,0.344,0.356
4,0.362,0.359,0.344,0.348
5,0.353,0.362,0.335,0.343
6,0.353,0.364,0.327,0.343
7,0.349,0.364,0.327,0.34
8,0.346,0.362,0.311,0.333
9,0.346,0.358,0.31,0.333
10,0.344,0.358,0.309,0.33
11,0.342,0.348,0.309,0.326
12,0.342,0.342,0.309,0.326
13,0.338,0.342,0.307,0.325
14,0.332,0.337,0.307,0.324
15,0.332,0.322,0.306,0.324
16,0.327,0.322,0.306,0.327
17,0.314,0.315,0.306,0.329
18,0.314,0.301,0.309,0.329
19,0.302,0.301,0.305,0.336
20,0.297,0.297,0.305,0.34
,,,,
NGC7259,,,,
Arcminute,North,East,South,West
0,0.055,0.055,0.055,0.055
1,0.055,0.054,0.052,0.051
2,0.052,0.054,0.049,0.051
3,0.05,0.053,0.049,0.049
4,0.05,0.049,0.044,0.044
5,0.046,0.049,0.043,0.043
6,0.045,0.047,0.043,0.043
7,0.045,0.044,0.042,0.043
8,0.044,0.044,0.043,0.043
9,0.045,0.044,0.043,0.043
10,0.045,0.043,0.044,0.043
11,0.045,0.043,0.046,0.043
12,0.045,0.043,0.046,0.044
13,0.045,0.042,0.047,0.045
14,0.045,0.042,0.047,0.046
15,0.045,0.041,0.047,0.046
16,0.045,0.041,0.049,0.047
17,0.046,0.041,0.051,0.047
18,0.048,0.04,0.051,0.046
19,0.048,0.04,0.052,0.046
20,0.049,0.04,0.053,0.045
,,,,
M66  ,,,,
Arcminute,North,East,South,West
0,0.09,0.09,0.09,0.09
1,0.087,0.09,0.09,0.089
2,0.087,0.09,0.093,0.089
3,0.087,0.089,0.098,0.087
4,0.087,0.09,0.098,0.086
5,0.084,0.09,0.098,0.086
6,0.084,0.087,0.093,0.083
7,0.083,0.082,0.093,0.078
8,0.076,0.082,0.085,0.076
9,0.076,0.081,0.076,0.076
10,0.073,0.081,0.076,0.072
11,0.065,0.081,0.072,0.07
12,0.065,0.079,0.07,0.07
13,0.064,0.076,0.07,0.069
14,0.063,0.076,0.07,0.067
15,0.063,0.074,0.07,0.067
16,0.064,0.074,0.07,0.066
17,0.065,0.074,0.075,0.066
18,0.065,0.072,0.078,0.066
19,0.067,0.068,0.078,0.065
20,0.069,0.068,0.083,0.064
,,,,
NGC134,,,,
Arcminute,North,East,South,West
0,0.049,0.049,0.049,0.049
1,0.05,0.048,0.048,0.049
2,0.05,0.048,0.048,0.051
3,0.052,0.048,0.046,0.056
4,0.054,0.047,0.044,0.058
5,0.054,0.046,0.043,0.066
6,0.054,0.046,0.04,0.066
7,0.053,0.045,0.039,0.066
8,0.053,0.04,0.039,0.06
9,0.047,0.04,0.039,0.057
10,0.04,0.037,0.038,0.047
11,0.04,0.034,0.038,0.047
12,0.036,0.034,0.036,0.042
13,0.035,0.032,0.034,0.034
14,0.035,0.029,0.034,0.033
15,0.033,0.029,0.031,0.031
16,0.032,0.029,0.027,0.031
17,0.032,0.029,0.027,0.029
18,0.032,0.028,0.027,0.028
19,0.03,0.029,0.026,0.028
20,0.03,0.029,0.026,0.028
,,,,
UGC10064,,,,
Arcminute,North,East,South,West
0,0.187,0.187,0.187,0.187
1,0.188,0.184,0.183,0.187
2,0.188,0.184,0.183,0.186
3,0.192,0.183,0.18,0.186
4,0.192,0.181,0.177,0.186
5,0.192,0.181,0.177,0.183
6,0.191,0.177,0.175,0.182
7,0.188,0.175,0.175,0.182
8,0.188,0.175,0.175,0.175
9,0.18,0.174,0.174,0.171
10,0.173,0.17,0.175,0.167
11,0.165,0.17,0.175,0.167
12,0.165,0.167,0.175,0.164
13,0.157,0.167,0.175,0.16
14,0.15,0.167,0.175,0.16
15,0.15,0.164,0.171,0.16
16,0.146,0.163,0.167,0.161
17,0.145,0.163,0.167,0.162
18,0.145,0.163,0.164,0.166
19,0.139,0.166,0.161,0.166
20,0.137,0.166,0.161,0.168
,,,,
NGC2789 ,,,,
Arcminute,North,East,South,West
0,0.07,0.07,0.07,0.07
1,0.069,0.07,0.07,0.069
2,0.07,0.069,0.07,0.069
3,0.07,0.068,0.07,0.068
4,0.07,0.068,0.071,0.068
5,0.07,0.067,0.07,0.068
6,0.069,0.066,0.07,0.067
7,0.069,0.066,0.069,0.065
8,0.069,0.064,0.068,0.064
9,0.067,0.064,0.068,0.064
10,0.067,0.064,0.067,0.061
11,0.067,0.064,0.066,0.06
12,0.067,0.063,0.066,0.06
13,0.067,0.063,0.066,0.06
14,0.067,0.062,0.066,0.06
15,0.067,0.06,0.066,0.061
16,0.067,0.06,0.066,0.06
17,0.067,0.059,0.066,0.059
18,0.065,0.058,0.066,0.059
19,0.065,0.058,0.066,0.057
20,0.065,0.058,0.066,0.057
,,,,
NGC6479 ,,,,
Arcminute,North,East,South,West
0,0.115,0.115,0.115,0.115
1,0.116,0.11,0.108,0.113
2,0.115,0.11,0.108,0.109
3,0.115,0.108,0.105,0.104
4,0.109,0.101,0.102,0.101
5,0.101,0.101,0.102,0.098
6,0.101,0.1,0.101,0.096
7,0.097,0.098,0.102,0.095
8,0.093,0.098,0.102,0.095
9,0.093,0.098,0.103,0.094
10,0.089,0.097,0.104,0.094
11,0.088,0.097,0.104,0.093
12,0.088,0.097,0.105,0.091
13,0.088,0.097,0.105,0.091
14,0.091,0.099,0.105,0.092
15,0.091,0.099,0.105,0.092
16,0.092,0.1,0.105,0.094
17,0.092,0.105,0.105,0.094
18,0.092,0.105,0.104,0.095
19,0.091,0.106,0.105,0.096
20,0.09,0.111,0.105,0.097
,,,,
NGC4303,,,,
Arcminute,North,East,South,West
0,0.06,0.06,0.06,0.06
1,0.06,0.06,0.06,0.06
2,0.06,0.06,0.06,0.06
3,0.061,0.06,0.06,0.06
4,0.061,0.06,0.06,0.06
5,0.061,0.06,0.06,0.06
6,0.061,0.06,0.06,0.06
7,0.061,0.059,0.058,0.06
8,0.061,0.059,0.057,0.058
9,0.06,0.059,0.057,0.056
10,0.06,0.056,0.055,0.056
11,0.057,0.055,0.052,0.053
12,0.054,0.055,0.052,0.051
13,0.054,0.053,0.049,0.051
14,0.051,0.052,0.048,0.049
15,0.05,0.052,0.048,0.048
16,0.05,0.052,0.046,0.048
17,0.049,0.053,0.045,0.047
18,0.048,0.053,0.045,0.047
19,0.048,0.054,0.045,0.047
20,0.048,0.058,0.045,0.047
,,,,
UGC10214 ,,,,
Arcminute,North,East,South,West
0,0.025,0.025,0.025,0.025
1,0.025,0.025,0.023,0.022
2,0.025,0.023,0.023,0.022
3,0.025,0.022,0.021,0.02
4,0.023,0.022,0.023,0.021
5,0.023,0.02,0.023,0.02
6,0.022,0.02,0.024,0.02
7,0.02,0.02,0.025,0.023
8,0.02,0.019,0.025,0.025
9,0.018,0.02,0.025,0.026
10,0.018,0.02,0.023,0.027
11,0.018,0.021,0.023,0.025
12,0.018,0.022,0.022,0.025
13,0.018,0.022,0.02,0.022
14,0.018,0.023,0.02,0.02
15,0.019,0.024,0.018,0.019
16,0.019,0.024,0.017,0.019
17,0.019,0.024,0.017,0.019
18,0.02,0.027,0.016,0.019
19,0.02,0.027,0.016,0.019
20,0.02,0.028,0.016,0.018
,,,,
NGC634  ,,,,
Arcminute,North,East,South,West
0,0.145,0.145,0.145,0.145
1,0.145,0.139,0.144,0.141
2,0.145,0.139,0.144,0.134
3,0.136,0.135,0.139,0.123
4,0.13,0.123,0.134,0.123
5,0.13,0.123,0.134,0.12
6,0.125,0.12,0.133,0.115
7,0.122,0.117,0.129,0.115
8,0.122,0.117,0.128,0.114
9,0.122,0.115,0.125,0.114
10,0.124,0.115,0.119,0.114
11,0.124,0.115,0.119,0.114
12,0.127,0.115,0.118,0.114
13,0.129,0.115,0.116,0.117
14,0.129,0.115,0.116,0.12
15,0.131,0.114,0.115,0.12
16,0.132,0.114,0.116,0.126
17,0.132,0.114,0.116,0.128
18,0.131,0.114,0.116,0.129
19,0.131,0.113,0.117,0.128
20,0.131,0.113,0.117,0.128
,,,,
Arp244  ,,,,
Arcminute,North,East,South,West
0,0.124,0.124,0.124,0.124
1,0.124,0.124,0.124,0.124
2,0.124,0.124,0.124,0.124
3,0.125,0.124,0.125,0.123
4,0.125,0.125,0.126,0.12
5,0.125,0.125,0.126,0.12
6,0.125,0.126,0.126,0.116
7,0.124,0.126,0.126,0.113
8,0.124,0.126,0.126,0.113
9,0.122,0.124,0.126,0.111
10,0.12,0.123,0.118,0.108
11,0.12,0.119,0.118,0.107
12,0.116,0.119,0.114,0.107
13,0.114,0.118,0.109,0.107
14,0.114,0.116,0.109,0.107
15,0.114,0.116,0.107,0.107
16,0.113,0.116,0.105,0.108
17,0.113,0.117,0.105,0.108
18,0.112,0.117,0.104,0.107
19,0.111,0.117,0.104,0.107
20,0.111,0.118,0.104,0.106
,,,,
UGC12846 ,,,,
Arcminute,North,East,South,West
0,0.1,0.1,0.1,0.1
1,0.1,0.099,0.101,0.1
2,0.1,0.095,0.099,0.102
3,0.099,0.095,0.099,0.102
4,0.099,0.092,0.1,0.102
5,0.097,0.09,0.1,0.102
6,0.095,0.09,0.1,0.101
7,0.095,0.089,0.1,0.101
8,0.094,0.088,0.101,0.101
9,0.092,0.088,0.101,0.101
10,0.092,0.087,0.101,0.102
11,0.089,0.086,0.099,0.102
12,0.089,0.086,0.099,0.103
13,0.089,0.086,0.098,0.105
14,0.085,0.086,0.094,0.106
15,0.083,0.086,0.094,0.106
16,0.082,0.086,0.092,0.105
17,0.082,0.086,0.09,0.105
18,0.08,0.086,0.09,0.105
19,0.08,0.086,0.088,0.103
20,0.08,0.087,0.086,0.1
,,,,
NGC2577 ,,,,
Arcminute,North,East,South,West
0,0.145,0.145,0.145,0.145
1,0.145,0.145,0.144,0.145
2,0.143,0.142,0.137,0.144
3,0.137,0.14,0.137,0.144
4,0.137,0.14,0.133,0.144
5,0.131,0.134,0.129,0.143
6,0.127,0.132,0.129,0.143
7,0.127,0.132,0.123,0.143
8,0.123,0.13,0.12,0.142
9,0.119,0.13,0.12,0.14
10,0.119,0.13,0.12,0.139
11,0.115,0.13,0.121,0.139
12,0.112,0.132,0.121,0.137
13,0.112,0.132,0.124,0.137
14,0.107,0.133,0.124,0.137
15,0.104,0.137,0.124,0.137
16,0.104,0.137,0.124,0.138
17,0.102,0.14,0.125,0.139
18,0.099,0.142,0.125,0.139
19,0.099,0.142,0.123,0.143
20,0.095,0.145,0.121,0.144
,,,,
UGC5378 ,,,,
Arcminute,North,East,South,West
0,0.075,0.075,0.075,0.075
1,0.076,0.072,0.069,0.074
2,0.076,0.072,0.069,0.072
3,0.076,0.07,0.065,0.072
4,0.074,0.064,0.06,0.067
5,0.074,0.064,0.06,0.064
6,0.073,0.063,0.06,0.064
7,0.072,0.061,0.059,0.063
8,0.073,0.061,0.059,0.064
9,0.073,0.061,0.06,0.064
10,0.075,0.06,0.061,0.064
11,0.074,0.06,0.061,0.066
12,0.074,0.06,0.063,0.066
13,0.075,0.06,0.063,0.065
14,0.076,0.06,0.063,0.065
15,0.076,0.06,0.064,0.065
16,0.073,0.059,0.064,0.066
17,0.071,0.059,0.064,0.067
18,0.071,0.058,0.063,0.067
19,0.068,0.057,0.062,0.071
20,0.068,0.057,0.062,0.071
,,,,
UGC4179 ,,,,
Arcminute,North,East,South,West
0,0.153,0.153,0.153,0.153
1,0.142,0.153,0.159,0.153
2,0.142,0.147,0.159,0.153
3,0.133,0.147,0.166,0.152
4,0.126,0.145,0.173,0.152
5,0.126,0.138,0.173,0.151
6,0.118,0.138,0.177,0.152
7,0.11,0.137,0.181,0.152
8,0.11,0.135,0.181,0.152
9,0.106,0.135,0.184,0.152
10,0.103,0.135,0.185,0.152
11,0.103,0.136,0.185,0.151
12,0.102,0.136,0.185,0.15
13,0.103,0.135,0.181,0.15
14,0.103,0.134,0.181,0.144
15,0.103,0.134,0.176,0.141
16,0.103,0.133,0.172,0.141
17,0.103,0.131,0.172,0.135
18,0.105,0.131,0.165,0.133
19,0.105,0.13,0.161,0.133
20,0.105,0.129,0.161,0.128
,,,,
UGC7848 ,,,,
Arcminute,North,East,South,West
0,0.041,0.041,0.041,0.041
1,0.04,0.041,0.041,0.038
2,0.039,0.041,0.04,0.036
3,0.039,0.04,0.039,0.034
4,0.038,0.04,0.039,0.033
5,0.037,0.039,0.039,0.031
6,0.037,0.038,0.04,0.031
7,0.036,0.038,0.04,0.031
8,0.037,0.038,0.041,0.031
9,0.037,0.037,0.041,0.031
10,0.037,0.037,0.041,0.031
11,0.036,0.036,0.041,0.032
12,0.037,0.036,0.04,0.032
13,0.037,0.036,0.04,0.032
14,0.037,0.036,0.039,0.032
15,0.038,0.037,0.038,0.031
16,0.038,0.037,0.038,0.031
17,0.038,0.036,0.037,0.032
18,0.038,0.036,0.036,0.032
19,0.038,0.036,0.036,0.032
20,0.038,0.036,0.034,0.033
,,,,
NGC3953 ,,,,
Arcminute,North,East,South,West
0,0.08,0.08,0.08,0.08
1,0.08,0.08,0.082,0.08
2,0.08,0.081,0.082,0.079
3,0.08,0.082,0.085,0.079
4,0.08,0.082,0.09,0.075
5,0.08,0.082,0.09,0.071
6,0.079,0.081,0.093,0.066
7,0.078,0.081,0.098,0.064
8,0.078,0.079,0.098,0.06
9,0.075,0.074,0.098,0.059
10,0.067,0.074,0.096,0.058
11,0.067,0.072,0.096,0.055
12,0.063,0.071,0.094,0.053
13,0.06,0.071,0.092,0.049
14,0.06,0.068,0.092,0.047
15,0.06,0.066,0.09,0.047
16,0.06,0.066,0.085,0.047
17,0.06,0.065,0.085,0.049
18,0.063,0.065,0.083,0.049
19,0.066,0.065,0.074,0.05
20,0.066,0.066,0.074,0.05
,,,,
NGC1371 ,,,,
Arcminute,North,East,South,West
0,0.072,0.072,0.072,0.072
1,0.072,0.068,0.066,0.07
2,0.071,0.068,0.059,0.07
3,0.068,0.061,0.059,0.07
4,0.066,0.057,0.056,0.067
5,0.066,0.057,0.052,0.063
6,0.059,0.052,0.052,0.063
7,0.059,0.05,0.05,0.061
8,0.058,0.05,0.048,0.059
9,0.056,0.047,0.048,0.058
10,0.056,0.046,0.045,0.058
11,0.056,0.046,0.045,0.057
12,0.055,0.045,0.045,0.058
13,0.055,0.045,0.044,0.06
14,0.055,0.045,0.043,0.06
15,0.056,0.044,0.043,0.061
16,0.056,0.045,0.043,0.061
17,0.057,0.045,0.042,0.061
18,0.058,0.045,0.042,0.061
19,0.058,0.045,0.044,0.06
20,0.058,0.045,0.043,0.057
,,,,
NGC5194,,,,
Arcminute,North,East,South,West
0,0.094,0.094,0.094,0.094
1,0.093,0.094,0.096,0.094
2,0.093,0.094,0.096,0.093
3,0.093,0.094,0.102,0.093
4,0.095,0.095,0.105,0.091
5,0.095,0.095,0.105,0.088
6,0.096,0.089,0.113,0.081
7,0.096,0.086,0.111,0.072
8,0.096,0.086,0.111,0.072
9,0.095,0.076,0.092,0.072
10,0.08,0.067,0.081,0.072
11,0.08,0.067,0.081,0.072
12,0.069,0.062,0.066,0.072
13,0.063,0.056,0.062,0.068
14,0.063,0.056,0.062,0.066
15,0.057,0.054,0.055,0.064
16,0.054,0.053,0.049,0.061
17,0.054,0.053,0.049,0.06
18,0.053,0.053,0.046,0.06
19,0.053,0.052,0.046,0.06
20,0.053,0.052,0.046,0.06
,,,,
NGC2811,,,,
Arcminute,North,East,South,West
0,0.145,0.145,0.145,0.145
1,0.145,0.145,0.141,0.143
2,0.144,0.139,0.135,0.14
3,0.137,0.136,0.135,0.133
4,0.137,0.136,0.127,0.133
5,0.135,0.128,0.123,0.131
6,0.13,0.124,0.123,0.127
7,0.13,0.124,0.119,0.127
8,0.129,0.123,0.117,0.125
9,0.127,0.123,0.117,0.124
10,0.127,0.121,0.116,0.124
11,0.126,0.122,0.115,0.123
12,0.126,0.123,0.115,0.122
13,0.126,0.123,0.115,0.122
14,0.127,0.126,0.115,0.122
15,0.128,0.128,0.115,0.122
16,0.128,0.128,0.115,0.122
17,0.129,0.131,0.115,0.122
18,0.13,0.137,0.115,0.121
19,0.13,0.137,0.115,0.12
20,0.131,0.142,0.114,0.12
,,,,
NGC5430,,,,
Arcminute,North,East,South,West
0,0.041,0.041,0.041,0.041
1,0.041,0.041,0.041,0.041
2,0.041,0.041,0.041,0.042
3,0.041,0.041,0.041,0.044
4,0.041,0.041,0.041,0.045
5,0.041,0.04,0.041,0.047
6,0.04,0.039,0.041,0.047
7,0.039,0.039,0.041,0.046
8,0.039,0.039,0.041,0.043
9,0.037,0.038,0.039,0.039
10,0.037,0.038,0.039,0.039
11,0.037,0.038,0.039,0.036
12,0.037,0.04,0.038,0.036
13,0.038,0.04,0.037,0.036
14,0.038,0.04,0.037,0.036
15,0.038,0.04,0.036,0.036
16,0.039,0.04,0.036,0.036
17,0.039,0.04,0.036,0.036
18,0.038,0.038,0.035,0.036
19,0.035,0.038,0.035,0.036
20,0.035,0.038,0.035,0.036
,,,,
ic2574,,,,
Arcminute,North,East,South,West
0,0.097,0.097,0.097,0.097
1,0.097,0.097,0.097,0.096
2,0.097,0.098,0.097,0.095
3,0.097,0.099,0.096,0.093
4,0.097,0.099,0.095,0.088
5,0.097,0.1,0.095,0.086
6,0.097,0.102,0.092,0.083
7,0.096,0.102,0.087,0.085
8,0.096,0.102,0.087,0.092
9,0.095,0.102,0.083,0.099
10,0.094,0.102,0.076,0.097
11,0.094,0.098,0.076,0.088
12,0.094,0.095,0.074,0.078
13,0.094,0.095,0.073,0.072
14,0.094,0.083,0.073,0.071
15,0.095,0.081,0.069,0.07
16,0.095,0.081,0.067,0.068
17,0.095,0.076,0.067,0.068
18,0.095,0.074,0.065,0.069
19,0.094,0.074,0.063,0.07
20,0.094,0.073,0.063,0.074
,,,,
ngc0584,,,,
Arcminute,North,East,South,West
0,0.114,0.114,0.114,0.114
1,0.114,0.113,0.113,0.114
2,0.113,0.112,0.111,0.115
3,0.108,0.112,0.111,0.116
4,0.108,0.111,0.11,0.116
5,0.104,0.11,0.108,0.117
6,0.103,0.11,0.108,0.119
7,0.103,0.107,0.106,0.119
8,0.099,0.106,0.104,0.118
9,0.098,0.106,0.104,0.119
10,0.098,0.104,0.102,0.119
11,0.098,0.104,0.099,0.115
12,0.099,0.104,0.099,0.113
13,0.099,0.104,0.098,0.113
14,0.1,0.104,0.095,0.106
15,0.101,0.104,0.095,0.104
16,0.101,0.104,0.093,0.104
17,0.103,0.104,0.091,0.099
18,0.104,0.104,0.091,0.097
19,0.104,0.103,0.09,0.097
20,0.106,0.101,0.088,0.095
,,,,
ngc0628,,,,
Arcminute,North,East,South,West
0,0.188,0.188,0.188,0.188
1,0.189,0.187,0.188,0.19
2,0.189,0.187,0.188,0.19
3,0.189,0.186,0.187,0.192
4,0.191,0.185,0.187,0.196
5,0.191,0.186,0.187,0.196
6,0.191,0.185,0.183,0.2
7,0.191,0.181,0.183,0.2
8,0.189,0.181,0.181,0.2
9,0.189,0.176,0.175,0.192
10,0.182,0.171,0.175,0.19
11,0.18,0.171,0.171,0.182
12,0.177,0.166,0.167,0.182
13,0.177,0.16,0.167,0.185
14,0.176,0.16,0.164,0.176
15,0.175,0.16,0.154,0.176
16,0.175,0.16,0.154,0.177
17,0.175,0.161,0.152,0.172
18,0.176,0.161,0.147,0.172
19,0.176,0.167,0.147,0.17
20,0.177,0.17,0.145,0.169
,,,,
ngc1097,,,,
Arcminute,North,East,South,West
0,0.072,0.072,0.072,0.072
1,0.072,0.072,0.072,0.072
2,0.072,0.071,0.071,0.072
3,0.072,0.071,0.071,0.073
4,0.072,0.071,0.071,0.073
5,0.074,0.07,0.066,0.07
6,0.074,0.068,0.066,0.067
7,0.074,0.068,0.064,0.065
8,0.071,0.064,0.059,0.061
9,0.068,0.06,0.059,0.061
10,0.068,0.06,0.055,0.061
11,0.064,0.058,0.054,0.058
12,0.058,0.054,0.054,0.057
13,0.058,0.054,0.052,0.057
14,0.056,0.053,0.052,0.056
15,0.054,0.053,0.052,0.055
16,0.054,0.053,0.053,0.055
17,0.054,0.054,0.053,0.055
18,0.052,0.054,0.053,0.055
19,0.052,0.054,0.054,0.055
20,0.051,0.056,0.054,0.056
,,,,
ngc2915,,,,
Arcminute,North,East,South,West
0,0.737,0.737,0.737,0.737
1,0.736,0.739,0.737,0.753
2,0.734,0.739,0.735,0.785
3,0.734,0.744,0.725,0.789
4,0.729,0.748,0.725,0.767
5,0.716,0.748,0.719,0.711
6,0.712,0.758,0.708,0.647
7,0.703,0.776,0.708,0.584
8,0.665,0.776,0.708,0.538
9,0.665,0.787,0.707,0.488
10,0.654,0.796,0.707,0.455
11,0.613,0.796,0.714,0.454
12,0.613,0.796,0.728,0.447
13,0.599,0.788,0.728,0.425
