IC208,,,,
Arcminute,North,East,South,West
19,0.972,1.079,1.112,1.993
20,0.972,1.065,1.088,1.979
,,,,
NGC7371,,,,
Arcminute,North,East,South,West
0,0.165,0.165,0.165,0.165
1,0.164,0.161,0.165,0.163
2,0.16,0.161,0.157,0.163
3,0.16,0.152,0.154,0.16
4,0.15,0.147,0.154,0.156
5,0.147,0.147,0.151,0.156
6,0.147,0.144,0.15,0.154
7,0.144,0.143,0.15,0.151
8,0.143,0.143,0.15,0.151
9,0.143,0.143,0.15,0.153
10,0.141,0.141,0.15,0.151
11,0.14,0.141,0.15,0.151
12,0.14,0.139,0.148,0.15
13,0.14,0.139,0.148,0.149
14,0.139,0.139,0.148,0.149
15,0.139,0.139,0.147,0.148
16,0.138,0.138,0.147,0.147
17,0.137,0.138,0.145,0.143
18,0.137,0.137,0.143,0.143
19,0.136,0.136,0.143,0.138
20,0.132,0.136,0.139,0.136
,,,,
NGC6166,,,,
Arcminute,North,East,South,West
0,0.03,0.03,0.03,0.03
1,0.03,0.031,0.029,0.03
2,0.031,0.03,0.027,0.03
3,0.029,0.03,0.027,0.028
4,0.029,0.029,0.025,0.027
5,0.027,0.026,0.023,0.025
6,0.026,0.026,0.023,0.025
7,0.026,0.024,0.023,0.025
8,0.026,0.021,0.022,0.025
9,0.026,0.021,0.022,0.025
10,0.026,0.02,0.021,0.024
11,0.026,0.02,0.021,0.024
12,0.027,0.02,0.021,0.022
13,0.027,0.02,0.02,0.022
14,0.027,0.021,0.02,0.021
15,0.029,0.021,0.02,0.022
16,0.029,0.021,0.02,0.022
17,0.031,0.022,0.02,0.022
18,0.031,0.022,0.02,0.022
19,0.031,0.022,0.02,0.021
20,0.027,0.022,0.02,0.02
,,,,
NGC2357,,,,
Arcminute,North,East,South,West
0,0.178,0.178,0.178,0.178
1,0.177,0.179,0.178,0.178
2,0.175,0.182,0.178,0.176
3,0.175,0.182,0.178,0.173
4,0.172,0.181,0.178,0.17
5,0.167,0.181,0.177,0.17
6,0.167,0.181,0.175,0.165
7,0.159,0.182,0.178,0.16
8,0.152,0.175,0.175,0.16
9,0.152,0.175,0.172,0.154
10,0.147,0.177,0.172,0.151
11,0.143,0.172,0.168,0.146
12,0.143,0.172,0.163,0.146
13,0.138,0.172,0.163,0.145
14,0.137,0.169,0.16,0.144
15,0.137,0.169,0.157,0.144
16,0.137,0.171,0.157,0.144
17,0.137,0.17,0.155,0.147
18,0.137,0.17,0.152,0.148
19,0.137,0.172,0.152,0.151
20,0.138,0.173,0.15,0.151
,,,,
NGC5490,,,,
Arcminute,North,East,South,West
0,0.073,0.073,0.073,0.073
